review_id,review_text,review_rating,review_title
197030942,J'ai ador¨¦e l'odeur et mes cheveux sont plus doux et brillants.,4.0,J'ai ador¨¦e l'odeur et mes cheveux sont plus doux et brillants.
197030944,"J'aime beaucoup le parfum du shampooing. Mes cheveux ¨¦taient tr¨¨s beaux et d'une douceur incomparable.  Je le conseille ¨¤ tout le monde,  un produit vraiment ¨¤ adopter. J'ai h?te d'essayer la gamme au complet.",5.0,"J'aime beaucoup le parfum du shampooing. Mes cheveux ¨¦taient tr¨¨s beaux et d'une douceur incomparable.  Je le conseille ¨¤ tout le monde,  un produit vraiment ¨¤ adopter. J'ai h?te d'essayer la gamme au complet."
197030956,Mes cheveux etaient tres doux et l'odeur est bonne.,4.0,Mes cheveux etaient tres doux et l'odeur est bonne.
197030961,J'ai ador¨¦ le shampooing et le revitalisant Garnier Whole Blend Tr¨¦sors de Miel.  Il sentait merveilleusement bon et a laiss¨¦ mes cheveux doux et soyeux.,5.0,J'ai ador¨¦ le shampooing et le revitalisant Garnier Whole Blend Tr¨¦sors de Miel.  Il sentait merveilleusement bon et a laiss¨¦ mes cheveux doux et soyeux.
197030994,J'ai ador¨¦ l'odeur du produit et mes cheveux sentent extr¨ºmement bon. Mes cheveux sont beaucoup plus brillants maintenant!,4.0,J'ai ador¨¦ l'odeur du produit et mes cheveux sentent extr¨ºmement bon. Mes cheveux sont beaucoup plus brillants maintenant!
197031049,"J'adore ce produit! Je ne jure que par ce shampooing. Mes cheveux sont tellement doux apr¨¨s l'utilisation, je me lave les cheveux qu'une fois par 5-6 jours et c'est g¨¦nial!",5.0,"J'adore ce produit! Je ne jure que par ce shampooing. Mes cheveux sont tellement doux apr¨¨s l'utilisation, je me lave les cheveux qu'une fois par 5-6 jours et c'est g¨¦nial!"
197031050,"En plus de la d¨¦licatesse du produit et de son odeur naturelle, envo?tante et r¨¦confortante, ce shampoing laisse une sensation nette de propret¨¦ et de douceur. Je recommande l'utilisation de ce produit.",4.0,"En plus de la d¨¦licatesse du produit et de son odeur naturelle, envo?tante et r¨¦confortante, ce shampoing laisse une sensation nette de propret¨¦ et de douceur. Je recommande l'utilisation de ce produit."
197031078,Agr¨¦able ¨¤ utiliser !  Son parfum est doux et naturel.  Ce produit donne ¨¤ notre cheveu un ¨¦clat naturel. Nous pouvons l'utiliser plusieurs fois par semaine sans endommager notre cheveu.  Chaque membre de la famille peut ¨¦galement l'utiliser.  On le retrouve facilement sur les tablettes des magasins.  Je le recommande ¨¤ toutes les personnes qui veulent avec de tr¨¨s beaux cheveux.,4.0,Agr¨¦able ¨¤ utiliser !  Son parfum est doux et naturel.  Ce produit donne ¨¤ notre cheveu un ¨¦clat naturel. Nous pouvons l'utiliser plusieurs fois par semaine sans endommager notre cheveu.  Chaque membre de la famille peut ¨¦galement l'utiliser.  On le retrouve facilement sur les tablettes des magasins.  Je le recommande ¨¤ toutes les personnes qui veulent avec de tr¨¨s beaux cheveux.
197031139,Sa fesais longtemps que jasseyais de me trouver un shampooing et voila Who les blends es arriver j'adore et je recommande ¨¤ tous car moi je peux pas m'en pass¨¦.,5.0,Sa fesais longtemps que jasseyais de me trouver un shampooing et voila Who les blends es arriver j'adore et je recommande ¨¤ tous car moi je peux pas m'en pass¨¦.
197031227,"je l'ai ador¨¦,mes cheveux sont doux et agr¨¦ablement parfum¨¦s",5.0,"je l'ai ador¨¦,mes cheveux sont doux et agr¨¦ablement parfum¨¦s"
197031246,J'aime beaucoup la marque Garnier de tr¨¨s bon produits et l'odeur de son parfum est exquis,5.0,J'aime beaucoup la marque Garnier de tr¨¨s bon produits et l'odeur de son parfum est exquis
197031251,Mes cheveux etaient tres doux. Je suis tres satisfait du produit!,5.0,Mes cheveux etaient tres doux. Je suis tres satisfait du produit!
197031291,"Je ne connais pas ce nouveau produit, c'est ma femme qui me l'a fait d¨¦couvrir. Je l'adore, elle dit que mes cheveux sont tellement plus doux.",5.0,"Je ne connais pas ce nouveau produit, c'est ma femme qui me l'a fait d¨¦couvrir. Je l'adore, elle dit que mes cheveux sont tellement plus doux."
197031299,J'ai ador¨¦ ce shampoing et j'aimerais bien essay¨¦ toute la gamme whole blend.,5.0,J'ai ador¨¦ ce shampoing et j'aimerais bien essay¨¦ toute la gamme whole blend.
197031394,"L'odeur ¨¦tait trop prononc¨¦ ¨¤ mon go?t, j'aime les odeurs tr¨¨s subtile. Sinon, la texture ¨¦tait tr¨¨s bien et mes cheveux ¨¦taient doux.",3.0,"L'odeur ¨¦tait trop prononc¨¦ ¨¤ mon go?t, j'aime les odeurs tr¨¨s subtile. Sinon, la texture ¨¦tait tr¨¨s bien et mes cheveux ¨¦taient doux."
197031424,Mes cheveux abim¨¦s ont retrouv¨¦ de l'¨¦clat et de la douceur gr?ce ¨¤ Garnier Whole Blend! Je suis vraiment heureuse d'avoir essay¨¦ ces produits!,5.0,Mes cheveux abim¨¦s ont retrouv¨¦ de l'¨¦clat et de la douceur gr?ce ¨¤ Garnier Whole Blend! Je suis vraiment heureuse d'avoir essay¨¦ ces produits!
